2018 RANK,CITY,STATE,2018 ESTIMATE,2010 CENSUS,CHANGE,2016 LAND AREA SQ MI,2016 POPULATION DENSITY PER SQ MI
1,New York City, New York,8398748,8175133,+2.74%,3015,28317
2,Los Angeles, California,3990456,3792621,+5.22%,4687,8484
3,Chicago, Illinois,2705994,2695598,+0.39%,2273,11900
4,Houston, Texas,2325502,2100263,+10.72%,6375,3613
5,Phoenix, Arizona,1660272,1445632,+14.85%,5176,3120
6,Philadelphia, Pennsylvania,1584138,1526006,+3.81%,1342,11683
7,San Antonio, Texas,1532233,1327407,+15.43%,4610,3238
8,San Diego, California,1425976,1307402,+9.07%,3252,4325
9,Dallas, Texas,1345047,1197816,+12.29%,3409,3866
10,San Jose, California,1030119,945942,+8.90%,1775,5777
11,Austin, Texas,964254,790390,+22.00%,3127,3031
12,Jacksonville, Florida,903889,821784,+9.99%,7474,1178
13,Fort Worth, Texas,895008,741206,+20.75%,3429,2491
14,Columbus, Ohio,892533,787033,+13.40%,2185,3936
15,San Francisco, California,883305,805235,+9.70%,469,18569
16,Charlotte, North Carolina,872498,731424,+19.29%,3054,2757
17,Indianapolis, Indiana,867125,820445,+5.69%,3615,2366
18,Seattle, Washington,744955,608660,+22.39%,838,8405
19,Denver, Colorado,716492,600158,+19.38%,1533,4521
20,"Washington, D.C.", District of Columbia,702455,601723,+16.74%,611,11148
21,Boston, Massachusetts,694583,617594,+12.47%,483,13938
22,El Paso, Texas,682669,649121,+5.17%,2568,2660
23,Detroit, Michigan,672662,713777,−5.76%,1388,4847
24,Nashville, Tennessee,669053,601222,+11.28%,4759,1388
25,Portland, Oregon,653115,583776,+11.88%,1335,4793
26,Memphis, Tennessee,650618,646889,+0.58%,3174,2056
27,Oklahoma City, Oklahoma,649021,579999,+11.90%,6063,1053
28,Las Vegas, Nevada,644644,583756,+10.43%,1344,4709
29,Louisville, Kentucky,620118,597337,+3.81%,2635,2339
30,Baltimore, Maryland,602495,620961,−2.97%,809,7598
31,Milwaukee, Wisconsin,592025,594833,−0.47%,962,6186
32,Albuquerque, New Mexico,560218,545852,+2.63%,1882,2972
33,Tucson, Arizona,545975,520116,+4.97%,2308,2299
34,Fresno, California,530093,494665,+7.16%,1144,4563
35,Mesa, Arizona,508958,439041,+15.92%,1379,3514
36,Sacramento, California,508529,466488,+9.01%,979,5059
37,Atlanta, Georgia,498044,420003,+18.58%,1335,3539
38,Kansas City, Missouri,491918,459787,+6.99%,3150,1528
39,Colorado Springs, Colorado,472688,416427,+13.51%,1956,2378
40,Miami, Florida,470914,399457,+17.89%,360,12599
41,Raleigh, North Carolina,469298,403892,+16.19%,1451,3163
42,Omaha, Nebraska,468262,408958,+14.50%,1332,3356
43,Long Beach, California,467354,462257,+1.10%,503,9347
44,Virginia Beach, Virginia,450189,437994,+2.78%,2447,1850
45,Oakland, California,429082,390724,+9.82%,559,7514
46,Minneapolis, Minnesota,425403,382578,+11.19%,540,7660
47,Tulsa, Oklahoma,400669,391906,+2.24%,1968,2048
48,Arlington, Texas,398112,365438,+8.94%,958,4100
49,Tampa, Florida,392890,335709,+17.03%,1134,3326
50,New Orleans, Louisiana,391006,343829,+13.72%,1694,2311
51,Wichita, Kansas,389255,382368,+1.80%,1604,2431
52,Cleveland, Ohio,383793,396815,−3.28%,777,4965
53,Bakersfield, California,383579,347483,+10.39%,1488,2529
54,Aurora, Colorado,374114,325078,+15.08%,1535,2356
55,Anaheim, California,352005,336265,+4.68%,500,7021
56,Honolulu, Hawaii,347397,337256,+3.01%,605,5815
57,Santa Ana, California,332725,324528,+2.53%,271,12333
58,Riverside, California,330063,303871,+8.62%,812,3999
59,Corpus Christi, Texas,326554,305215,+6.99%,1746,1866
60,Lexington, Kentucky,323780,295803,+9.46%,2836,1123
61,Stockton, California,311178,291707,+6.67%,617,4977
62,Henderson, Nevada,310390,257729,+20.43%,1047,2798
63,Saint Paul, Minnesota,307695,285068,+7.94%,520,5815
64,St. Louis, Missouri,302838,319294,−5.15%,620,5023
65,Cincinnati, Ohio,302605,296943,+1.91%,774,3860
66,Pittsburgh, Pennsylvania,301048,305704,−1.52%,554,5481
67,Greensboro, North Carolina,294722,269666,+9.29%,1283,2237
68,Anchorage, Alaska,291538,291826,−0.10%,17066,175
69,Plano, Texas,288061,259841,+10.86%,717,3990
70,Lincoln, Nebraska,287401,258379,+11.23%,921,3044
71,Orlando, Florida,285713,238300,+19.90%,1052,2635
72,Irvine, California,282572,212375,+33.05%,656,4057
73,Newark, New Jersey,282090,277140,+1.79%,241,11691
74,Toledo, Ohio,274975,287208,−4.26%,807,3451
75,Durham, North Carolina,274291,228330,+20.13%,1098,2395
76,Chula Vista, California,271651,243916,+11.37%,496,5387
77,Fort Wayne, Indiana,267633,253691,+5.50%,1106,2391
78,Jersey City, New Jersey,265549,247597,+7.25%,148,17848
79,St. Petersburg, Florida,265098,244769,+8.31%,618,4223
80,Laredo, Texas,261639,236091,+10.82%,1011,2544
81,Madison, Wisconsin,258054,233209,+10.65%,770,3280
82,Chandler, Arizona,257165,236123,+8.91%,649,3813
83,Buffalo, New York,256304,261310,−1.92%,404,6359
84,Lubbock, Texas,255885,229573,+11.46%,1246,2027
85,Scottsdale, Arizona,255310,217385,+17.45%,1839,1341
86,Reno, Nevada,250998,225221,+11.45%,1073,2286
87,Glendale, Arizona,250702,226721,+10.58%,591,4161
88,Gilbert, Arizona,248279,208453,+19.11%,680,3487
89,Winston–Salem, North Carolina,246328,229617,+7.28%,1325,1828
90,North Las Vegas, Nevada,245949,216961,+13.36%,980,2436
91,Norfolk, Virginia,244076,242803,+0.52%,533,4599
92,Chesapeake, Virginia,242634,222209,+9.19%,3385,703
93,Garland, Texas,242507,226876,+6.89%,570,4122
94,Irving, Texas,242242,216290,+12.00%,670,3557
95,Hialeah, Florida,238942,224669,+6.35%,215,10995
96,Fremont, California,237807,214089,+11.08%,775,3008
97,Boise, Idaho,228790,205671,+11.24%,821,2718
98,Richmond, Virginia,228783,204214,+12.03%,598,3732
99,Baton Rouge, Louisiana,221599,229493,−3.44%,859,2651
100,Spokane, Washington,219190,208916,+4.92%,687,3144
101,Des Moines, Iowa,216853,203433,+6.60%,889,2424
102,Tacoma, Washington,216279,198397,+9.01%,497,4251
103,San Bernardino, California,215941,209924,+2.87%,615,3516
104,Modesto, California,215030,201165,+6.89%,430,4934
105,Fontana, California,213739,196069,+9.01%,430,4876
106,Santa Clarita, California,210089,176320,+19.15%,528,3446
107,Birmingham, Alabama,209880,212237,−1.11%,1461,1452
108,Oxnard, California,209877,197899,+6.05%,269,7729
109,Fayetteville, North Carolina,209468,200564,+4.44%,1477,1386
110,Moreno Valley, California,209050,193365,+8.11%,513,4006
111,Rochester, New York,206284,210565,−2.03%,358,5835
112,Glendale, California,201361,191719,+5.03%,304,6606
113,Huntington Beach, California,200641,189992,+5.60%,269,7459
114,Salt Lake City, Utah,200591,186440,+7.59%,1112,1742
